,homeTeamCode,awayTeamCode,game_id,time,period,team,teamCode,location,xCordAdjusted,xCordAdjusted,shotType,shotOnEmptyNet,shotRush,shotRebound,shotDistance,shotAngleAdjusted,shooterName,goalieNameForShot,event
1346970,MTL,NYR,30111,2263,2,AWAY,NYR,HOMEZONE,83,83,WRIST,0,0,0,8.48528137424,45.0,Mika Zibanejad,Carey Price,SHOT
1346971,MTL,NYR,30111,2385,2,AWAY,NYR,HOMEZONE,46,46,WRIST,0,0,0,43.011626335200006,1.33221985387,Jimmy Vesey,Carey Price,MISS
1346972,MTL,NYR,30111,2411,3,AWAY,NYR,HOMEZONE,32,32,WRIST,0,0,0,60.0832755432,18.4349488229,Ryan McDonagh,Carey Price,SHOT
1346973,MTL,NYR,30111,2460,3,HOME,MTL,AWAYZONE,81,81,WRIST,0,0,0,10.6301458127,41.1859251657,Max Pacioretty,Henrik Lundqvist,SHOT
1346974,MTL,NYR,30111,2487,3,HOME,MTL,Neu. Zone,2,2,WRIST,0,0,0,94.5409963984,23.0394359799,Max Pacioretty,Henrik Lundqvist,SHOT
1346975,MTL,NYR,30111,2511,3,AWAY,NYR,HOMEZONE,37,37,WRIST,0,0,0,62.6817357769,33.9435870198,Brady Skjei,Carey Price,SHOT
1346976,MTL,NYR,30111,2538,3,AWAY,NYR,HOMEZONE,46,46,WRIST,0,0,0,51.8652099196,33.9964591483,Derek Stepan,Carey Price,SHOT
1346977,MTL,NYR,30111,2673,3,AWAY,NYR,HOMEZONE,55,55,WRIST,0,0,0,48.0832611207,45.0,Rick Nash,Carey Price,SHOT
1346978,MTL,NYR,30111,2681,3,AWAY,NYR,HOMEZONE,79,79,WRIST,0,0,0,31.6227766017,71.5650511771,Mika Zibanejad,Carey Price,SHOT
1346979,MTL,NYR,30111,2788,3,HOME,MTL,AWAYZONE,64,64,WRIST,0,0,0,32.0156211872,38.6598082541,Dwight King,Henrik Lundqvist,SHOT
1346980,MTL,NYR,30111,2842,3,AWAY,NYR,Neu. Zone,10,10,WRIST,0,0,0,80.062475605,9.3446719021,Mika Zibanejad,Carey Price,SHOT
1346981,MTL,NYR,30111,2864,3,AWAY,NYR,HOMEZONE,38,38,SLAP,0,0,0,59.682493245500005,31.2930389959,Marc Staal,Carey Price,SHOT
1346982,MTL,NYR,30111,2880,3,AWAY,NYR,HOMEZONE,75,75,TIP,0,0,0,18.4390889146,40.601294645,Kevin Hayes,Carey Price,MISS
1346983,MTL,NYR,30111,3065,3,AWAY,NYR,Neu. Zone,14,14,SLAP,0,0,0,84.0773453434,26.8698130875,Brady Skjei,Carey Price,SHOT
1346984,MTL,NYR,30111,3170,3,HOME,MTL,AWAYZONE,61,61,WRIST,0,0,0,28.4429253067,10.1246716554,Artturi Lehkonen,Henrik Lundqvist,SHOT
1346985,MTL,NYR,30111,3185,3,AWAY,NYR,HOMEZONE,61,61,WRIST,0,0,0,44.821869662,51.3401917459,Brendan Smith,Carey Price,SHOT
1346986,MTL,NYR,30111,3189,3,AWAY,NYR,HOMEZONE,39,39,SLAP,0,0,0,55.0363516233,24.7024302278,Brendan Smith,Carey Price,SHOT
1346987,MTL,NYR,30111,3195,3,AWAY,NYR,HOMEZONE,33,33,SLAP,0,0,0,65.0,30.5102374061,Dan Girardi,Carey Price,MISS
